date,open,high,low,close,volume,trade_volume
20180524,10272,11072,10205,10889,867541,9297
20180523,10439,10605,10138,10205,296684,3056
20180521,10322,10739,10272,10505,439991,4620
20180518,10339,10705,10205,10322,406555,4227
20180517,11006,11039,10255,10339,541082,5708
20180516,10622,10922,10288,10772,707673,7534
20180515,11206,11322,10622,10672,653427,7133
20180514,11506,11506,10855,11039,642372,7140
20180511,11272,11889,11239,11589,903127,10429
20180510,11472,11539,11006,11306,626264,7072
20180509,10805,11506,10705,11472,1147058,12678
20180508,11906,12156,10972,10972,1061685,12292
20180504,12690,12756,11456,11606,1755052,21158
20180503,13407,15174,12373,12373,4028960,56267
20180502,12540,14957,12206,13340,4819454,66798
20180430,13674,13757,12506,13090,1761766,23073
20180427,13290,13674,12940,13557,1300585,17309
20180426,11956,13840,11939,13290,5378303,70472
20180425,11089,11589,11056,11422,785907,8904
20180424,11489,11939,11122,11172,1226186,14125
20180423,11906,11973,11172,11339,1462486,16810
20180420,12573,12923,11939,12173,1170651,14648
20180419,12606,12890,11923,12173,1538417,19010
20180418,13840,14891,12473,12923,2681145,37153
20180417,14090,14290,13507,13890,1763766,24475
20180416,12289,15341,12039,14090,9975019,140974
20180413,12990,13974,12273,12340,5095013,65733
20180412,12623,12690,11489,11823,2508849,30176
20180411,10772,13457,10639,12456,8291457,103918
20180410,10405,10922,10238,10639,2453739,25948
20180409,8504,11089,8488,10489,9607271,95763
20180406,8671,8704,8354,8604,1066402,9072
20180405,8237,8704,8121,8671,2094879,17747
20180404,8221,8438,7921,8004,865070,7072
20180403,7921,8237,7871,8154,572861,4636
20180402,8438,8471,7937,8054,1304621,10577
20180330,8287,8488,8154,8438,1337919,11132
20180329,8838,9155,8187,8221,2888714,24838
20180328,8087,8571,7721,8571,4577451,37085
20180327,7037,8638,6837,7837,10672033,86233
20180326,6503,6753,6253,6653,225157,1469
20180323,6503,6770,6370,6503,502996,3306
20180322,7087,7204,6753,6937,282384,1988
20180321,7270,7270,7020,7120,238135,1690
20180320,6887,7137,6853,7120,191337,1342
20180319,7204,7237,7004,7020,256582,1811
20180316,7170,7320,7137,7270,251703,1815
20180315,6853,7270,6837,7220,504096,3588
20180314,6953,6953,6787,6903,199400,1368
20180313,6870,6937,6720,6920,276060,1890
20180312,6603,6887,6520,6887,278288,1865
20180309,6603,6637,6453,6537,224861,1468
20180308,6070,6953,6036,6603,1220618,8057
20180307,6236,6303,6003,6053,276123,1699
20180306,6453,6453,6203,6303,204597,1283
20180305,6353,6420,6170,6337,249322,1567
20180302,6303,6453,6236,6370,168750,1071
20180228,6520,6603,6320,6337,197418,1271
20180227,6787,6803,6587,6603,197025,1314
20180226,6770,6803,6637,6670,173334,1164
20180223,6653,6737,6537,6653,128654,852
20180222,6753,6837,6587,6653,133994,896
20180221,6603,6870,6603,6770,174858,1178
20180220,6687,6737,6487,6587,146471,968
20180219,6403,6687,6353,6637,240657,1578
20180214,6170,6403,6086,6353,223178,1395
20180213,6370,6437,6136,6136,309919,1948
20180212,6503,6570,6320,6320,298447,1906
20180209,6503,6703,6320,6387,873277,5640
20180208,6887,7070,6753,6887,454279,3111
20180207,7104,7220,6620,6753,704738,4912
20180206,6470,6837,6170,6837,898930,5771
20180205,7170,7187,6770,6820,627634,4360
20180202,7771,7771,7320,7387,491190,3666
20180201,7871,7971,7587,7737,444009,3426
20180131,7921,8137,7771,7871,546846,4320
20180130,8338,8404,8071,8204,368630,3023
20180129,8304,8438,8187,8271,437343,3623
20180126,8438,8488,8187,8221,719991,5967
20180125,8604,8704,8321,8438,723628,6128
20180124,8604,8738,8471,8604,681490,5867
20180123,8654,8721,8438,8538,579289,4954
20180122,8438,8671,8171,8571,764879,6494
20180119,8604,9221,8388,8404,3097682,27089
20180118,8137,8287,7871,8287,1382282,11209
20180117,8271,8921,7854,8054,3158927,25831
20180116,7671,7954,7587,7737,869874,6764
20180115,7771,7837,7454,7637,1287382,9856
20180112,7671,8137,7504,7787,1349793,10580
20180111,7520,7804,7387,7637,563832,4297
20180110,7804,7921,7354,7554,821238,6200
20180109,8204,8221,7721,7737,560993,4459
20180108,8121,8221,7871,8137,904258,7290
20180105,7604,7987,7604,7954,661691,5219
20180104,8104,8137,7570,7671,674360,5319
20180103,8004,8371,7754,7937,1789115,14440
20180102,7404,7804,7204,7771,1240327,9370
20171228,6937,7404,6887,7404,967556,6939
20171227,7154,7237,6903,7104,715814,5053
20171226,6770,7254,6637,6737,936120,6520
20171222,6670,7004,6403,6753,909241,6052
20171221,7087,7104,6603,6620,480546,3235
20171220,7220,7437,6970,7004,344177,2461
20171219,7537,7554,6987,7254,458864,3286
20171218,7887,7921,7504,7537,257925,1965
20171215,8104,8137,7787,7871,264864,2099
20171214,8054,8321,7987,8104,308186,2514
20171213,7904,8504,7570,7987,586789,4746
20171212,7954,8304,7721,7771,354000,2784
20171211,7787,8388,7787,8121,766489,6215
20171208,7137,9455,6937,7771,2943874,24197
20171207,7504,7504,6987,7287,675475,4900
20171206,7465,7632,7089,7106,1415287,10292
20171205,8016,8049,7490,7490,1065299,8308
20171204,7565,8091,7523,7933,1407653,10990
20171201,7248,7582,7156,7482,1177335,8728
